               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12427,            0.026915,                   0,                   0,                   0,                   0,                   0,            0.084106,            0.026384,                   0,                 0.1,                   0,                   0
                   1,             0.12038,            0.026742,                   0,             0.17255,             0.33333,             0.33537,            0.033537,            0.083361,             0.02636,                   0,              0.0991,          9.9717e-05,          9.9717e-05
                   2,             0.12023,            0.027201,                   0,             0.16947,             0.33333,             0.33537,            0.033537,            0.082251,            0.026004,                   0,            0.098199,          0.00019887,          0.00019887
                   3,             0.11713,            0.026673,                   0,              0.1714,             0.33333,             0.33615,            0.067152,            0.081072,            0.025632,                   0,            0.097297,          0.00029745,          0.00029745
                   4,             0.11914,            0.024457,                   0,             0.16677,             0.33333,             0.33537,            0.067074,            0.080938,            0.025657,                   0,            0.096395,          0.00039547,          0.00039547
                   5,             0.12912,            0.024889,                   0,             0.15827,             0.33333,             0.33621,             0.10069,            0.079534,            0.025175,                   0,            0.095493,          0.00049293,          0.00049293
                   6,             0.11698,            0.025321,                   0,             0.15075,             0.33333,             0.33537,             0.13415,            0.077252,            0.024773,                   0,             0.09459,          0.00058982,          0.00058982
                   7,              0.1184,            0.023568,                   0,             0.15284,             0.33333,              0.3362,             0.13423,            0.075306,            0.024385,                   0,            0.093686,          0.00068614,          0.00068614
                   8,             0.11157,              0.0245,                   0,             0.14243,             0.33333,             0.33537,             0.16768,            0.073317,            0.023962,                   0,            0.092782,           0.0007819,           0.0007819
                   9,             0.11181,            0.024189,                   0,             0.14226,             0.33333,             0.33537,             0.10061,            0.071632,            0.023388,                   0,            0.091877,          0.00087709,          0.00087709
                  10,             0.10029,            0.025008,                   0,              0.1505,             0.33333,             0.33537,             0.10061,            0.069422,            0.022914,                   0,            0.090972,          0.00097171,          0.00097171
                  11,             0.10203,            0.023368,                   0,             0.14244,             0.33333,             0.33537,             0.13415,            0.067335,            0.022417,                   0,            0.090066,           0.0010658,           0.0010658
                  12,             0.10538,            0.021536,                   0,             0.13407,             0.33333,             0.33537,            0.067074,            0.066306,            0.021866,                   0,            0.089159,           0.0011593,           0.0011593
                  13,             0.10677,            0.019849,                   0,                   0,                   0,                   0,                   0,            0.066751,            0.021288,                   0,            0.088252,           0.0012522,           0.0012522
                  14,            0.096832,            0.020386,                   0,                   0,                   0,                   0,                   0,            0.066913,            0.020785,                   0,            0.087345,           0.0013446,           0.0013446
                  15,            0.096739,            0.022786,                   0,           0.0011111,             0.33333,           0.0019413,          0.00038825,            0.066904,            0.020177,                   0,            0.086436,           0.0014364,           0.0014364
                  16,            0.099102,            0.021993,                   0,           0.0011111,             0.33333,           0.0018001,          0.00054004,            0.067787,            0.019523,                   0,            0.085528,           0.0015276,           0.0015276
                  17,            0.095794,            0.019704,                   0,           0.0011111,             0.33333,           0.0020604,          0.00020604,            0.064907,            0.019194,                   0,            0.084618,           0.0016183,           0.0016183
                  18,             0.10304,            0.018909,                   0,                   0,                   0,                   0,                   0,             0.06269,            0.018769,                   0,            0.083708,           0.0017084,           0.0017084
                  19,            0.096226,             0.01835,                   0,            0.006746,             0.33333,             0.33537,            0.033537,            0.061151,            0.018299,                   0,            0.082798,           0.0017979,           0.0017979
                  20,            0.087236,              0.0178,                   0,            0.011014,             0.33333,             0.33537,            0.067074,             0.06267,            0.017632,                   0,            0.081887,           0.0018869,           0.0018869
                  21,            0.090022,            0.018712,                   0,           0.0045763,             0.33333,             0.33537,            0.078277,            0.061383,            0.017262,                   0,            0.080975,           0.0019753,           0.0019753
                  22,            0.091431,            0.017289,                   0,           0.0036012,             0.33333,             0.16787,            0.050397,            0.060164,             0.01686,                   0,            0.080063,           0.0020631,           0.0020631
                  23,            0.087177,            0.017613,                   0,           0.0046151,             0.33333,             0.16787,            0.050397,            0.061192,            0.016291,                   0,             0.07915,           0.0021504,           0.0021504
                  24,            0.092113,            0.016252,                   0,           0.0011111,             0.33333,             0.11204,            0.064466,            0.058153,            0.016132,                   0,            0.078237,           0.0022371,           0.0022371
                  25,            0.092405,            0.014406,                   0,                   0,                   0,                   0,                   0,            0.062339,            0.015511,                   0,            0.077323,           0.0023232,           0.0023232
                  26,            0.087719,            0.015521,                   0,                   0,                   0,                   0,                   0,             0.06198,            0.015102,                   0,            0.076409,           0.0024088,           0.0024088
                  27,            0.084104,            0.015636,                   0,                   0,                   0,                   0,                   0,            0.060961,            0.014787,                   0,            0.075494,           0.0024938,           0.0024938
                  28,            0.077711,             0.01339,                   0,                   0,                   0,                   0,                   0,            0.058981,            0.014554,                   0,            0.074578,           0.0025782,           0.0025782
                  29,            0.084539,            0.014716,                   0,           0.0011111,             0.33333,           0.0047764,          0.00047764,            0.058006,             0.01436,                   0,            0.073662,           0.0026621,           0.0026621
                  30,            0.092186,            0.013767,                   0,           0.0011111,             0.33333,          0.00090364,          0.00054219,            0.057605,            0.014087,                   0,            0.072745,           0.0027454,           0.0027454
                  31,            0.079406,             0.01367,                   0,           0.0022222,             0.66667,            0.005821,           0.0014417,            0.054694,            0.014111,                   0,            0.071828,           0.0028282,           0.0028282
                  32,            0.083467,            0.010271,                   0,           0.0033333,                   1,            0.009625,           0.0017948,            0.055197,            0.013778,                   0,             0.07091,           0.0029104,           0.0029104
                  33,            0.079135,            0.012319,                   0,           0.0033333,                   1,            0.009625,           0.0017948,            0.055197,            0.013778,                   0,            0.069992,            0.002992,            0.002992
                  34,            0.079847,            0.013388,                   0,           0.0022222,             0.66667,           0.0073449,           0.0010136,            0.055938,            0.013441,                   0,            0.069073,            0.003073,            0.003073
                  35,             0.07244,            0.015797,                   0,           0.0022222,             0.66667,           0.0073449,           0.0010136,            0.055938,            0.013441,                   0,            0.068154,           0.0031535,           0.0031535
                  36,            0.073372,            0.011955,                   0,           0.0011111,             0.33333,           0.0014889,           0.0004733,            0.056981,            0.013157,                   0,            0.067233,           0.0032334,           0.0032334
                  37,            0.086253,            0.011392,                   0,           0.0011111,             0.33333,           0.0014889,           0.0004733,            0.056981,            0.013157,                   0,            0.066313,           0.0033128,           0.0033128
                  38,            0.079734,            0.015223,                   0,           0.0011111,             0.33333,           0.0015956,          0.00015956,            0.054116,            0.013054,                   0,            0.065392,           0.0033916,           0.0033916
                  39,            0.080649,             0.01296,                   0,           0.0011111,             0.33333,           0.0015956,          0.00015956,            0.054116,            0.013054,                   0,             0.06447,           0.0034698,           0.0034698
                  40,            0.081261,            0.013469,                   0,                   0,                   0,                   0,                   0,            0.063144,            0.011973,                   0,            0.063547,           0.0035474,           0.0035474
                  41,            0.069494,            0.013128,                   0,                   0,                   0,                   0,                   0,            0.063144,            0.011973,                   0,            0.062625,           0.0036245,           0.0036245
